name x y z
Fp1-REF 83.917 29.437 -6.99
Fp2-REF 84.896 -29.872 -7.08
F3-REF 53.111 50.244 42.192
F4-REF 54.305 -51.836 40.814
C3-REF -11.632 65.358 64.358
C4-REF -10.9 -67.118 63.58
P3-REF -78.788 53.007 55.94
P4-REF -78.56 -55.667 56.561
O1-REF -112.45 29.413 8.839
O2-REF -112.16 -29.843 8.8
F7-REF 42.474 70.263 -11.42
F8-REF 44.422 -73.043 -12
T7-REF -16.019 84.161 -9.346
T8-REF -15.02 -85.08 -9.49
P7-REF -73.453 72.434 -2.487
P8-REF -73.068 -73.056 -2.54
Fz-REF 58.512 -0.3122 66.462
Cz-REF -9.167 -0.4009 100.24
Pz-REF -81.115 -0.3247 82.615
F1-REF 56.931 27.496 60.342
F2-REF 57.602 -29.514 59.54
P1-REF -80.525 28.62 75.436
P2-REF -80.487 -31.92 76.716
AF3-REF 76.837 33.701 21.227
AF4-REF 77.726 -35.712 21.956
P5-REF -76.291 67.272 28.382
P6-REF -75.904 -67.888 28.091
FC5-REF 18.643 77.215 24.46
FC6-REF 19.936 -79.534 24.438
C5-REF -13.76 80.28 29.16
C6-REF -12.776 -83.456 29.208
TP7-REF -46.022 84.83 -7.056
TP8-REF -45.545 -85.549 -7.13
PO5-REF -99.341 48.424 21.599
PO6-REF -99.446 -49.82 21.727
Fpz-REF 88.247 -0.1123 -1.713
FCz-REF 27.39 -0.3761 88.668
CPz-REF -47.318 -0.3858 99.432
POz-REF -102.18 -0.2156 50.608
Oz-REF -114.89 -0.1076 14.657
PO3-REF -100.85 36.511 37.167
PO4-REF -100.85 -36.782 36.397
CP1-REF -47.292 35.513 91.315
CP2-REF -47.073 -38.384 90.695
CP3-REF -47.009 63.556 65.624
CP4-REF -46.637 -66.612 65.58
C1-REF -9.9839 36.158 89.752
C2-REF -9.6241 -37.672 88.412
F5-REF 48.035 64.466 16.921
F6-REF 49.83 -67.914 16.367
FC3-REF 22.716 60.182 55.544
FC4-REF 23.723 -62.293 55.63
FC1-REF 26.011 34.062 79.987
FC2-REF 26.438 -34.784 78.808
CP5-REF -46.551 79.592 30.949
CP6-REF -46.101 -83.322 31.206
PO7-REF -97.528 54.84 2.792
PO8-REF -97.625 -55.667 2.73
